Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité,année,Rang,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts,J1_x,J2_x,J3_x,J4_x,J5_x,J6_x,J7_x,J8_x,J9_x,J10_x,J11_x,J12_x,J13_x,J14_x,J15_x,J16_x,J17_x,J18_x,J19_x,J20_x,J21_x,J22_x,J23_x,J24_x,J25_x,J26_x,J1_y,J2_y,J3_y,J4_y,J5_y,J6_y,J7_y,J8_y,J9_y,J10_y,J11_y,J12_y,J13_y,J14_y,J15_y,J16_y,J17_y,J18_y,J19_y,J20_y,J21_y,J22_y,J23_y,J24_y,J25_y,J26_y,JR1,JR2,JR3
Stade français Paris,1997,30.16,7,Greg Cooper  Olivier Azam  Julien Dupuy,Stade Jean-Bouin (Paris),15500.0,2017,12,26,9,0,17,58,87,2,4,540,740,-200,42,11,7,12,13,13,11,10,11,11,11,11,11,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,D,V,D,D,D,V,V,D,D,V,D,V,D,V,D,D,D,D,D,V,D,D,V,D,V,D,,,
Section paloise,2015,23.02,9,Simon Mannix  Carl Hayman  Frédéric Manca,Stade du Hameau (Pau),18324.0,2017,8,26,15,0,11,58,66,2,4,590,584,6,66,13,13,10,8,9,8,7,8,9,10,10,10,9.0,9.0,9.0,8.0,8.0,7.0,4.0,5.0,5.0,6.0,5.0,7.0,8.0,8.0,D,D,V,V,V,D,V,D,D,V,D,V,V,D,V,V,V,V,V,V,D,V,D,D,D,V,,,
SU Agen,2017,12.32,16,Philippe Sella  Stéphane Prosper  Mauricio Reggiardo,Stade Armandie (Agen),14042.0,2017,11,26,10,0,16,59,96,2,4,537,757,-220,46,14,11,11,12,12,13,13,13,12,12,12,13,12.0,13.0,13.0,13.0,13.0,12.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,D,V,D,D,D,D,D,D,V,D,V,D,V,D,V,D,D,V,V,D,D,D,V,V,V,D,,,
Stade rochelais,2014,22.81,1,Patrice Collazo  Xavier Garbajosa,Stade Marcel-Deflandre (La Rochelle),16000.0,2017,7,26,14,1,11,81,52,6,3,686,531,155,67,4,10,3,4,2,5,4,3,3,3,2,1,2.0,1.0,2.0,2.0,3.0,6.0,7.0,8.0,6.0,5.0,6.0,8.0,7.0,7.0,V,D,V,V,V,D,V,V,V,D,V,V,D,V,N,V,D,D,D,D,V,V,D,D,D,V,,,
RC Toulon,2008,26.39,4,Fabien Galthié  Fabrice Landreau  Marc Dal Maso  Manny Edmonds,Stade Mayol (Toulon),18200.0,2017,4,26,14,0,12,93,52,9,8,766,507,259,73,2,5,4,6,6,4,6,4,5,8,8,7,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,V,D,V,D,V,V,D,V,D,D,D,V,V,D,D,V,V,V,D,V,D,V,D,V,V,D,,,
Stade toulousain,1907,30.86,12,Ugo Mola  William Servat  Pierre-Henry Broncan  Jean Bouilhou,Stade Ernest-Wallon (Toulouse),19500.0,2017,3,26,16,1,9,80,62,4,4,719,595,124,74,7,4,8,5,4,3,3,5,4,5,5,6,6.0,6.0,6.0,6.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,N,V,D,V,V,V,V,D,V,D,V,D,D,V,D,V,V,V,V,D,V,V,D,V,V,D,,,
SU Agen,2017,13.8,11,Philippe Sella  Stéphane Prosper  Mauricio Reggiardo,Stade Armandie (Agen),14042.0,2018,12,26,8,1,17,38,78,0,4,431,654,-223,38,14,10,12,9,12,12,13,12,13,13,12,13,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,D,V,D,V,D,D,D,N,D,D,V,D,D,D,D,V,V,D,V,D,D,D,V,V,D,D,,,
Union Bordeaux Bègles,2011,23.0,10,Rory Teague  Luke Narraway  Joe Worsley  Jean-Baptiste Poux  Brock James,Stade Chaban-Delmas (Bordeaux),34694.0,2018,10,26,12,1,13,66,84,4,3,618,711,-93,57,3,6,8,10,9,7,8,5,8,7,6,5,4.0,7.0,5.0,5.0,5.0,6.0,4.0,6.0,6.0,6.0,8.0,9.0,9.0,10.0,V,D,N,D,V,V,D,V,D,V,V,V,V,D,V,D,V,D,V,D,V,D,D,D,D,D,,,
Castres olympique,1989,23.7,6,Christophe Urios  Joe El Abd  Frédéric Charrier,Stade Pierre-Fabre (Castres),12500.0,2018,7,26,15,0,11,48,46,4,5,508,499,9,69,6,3,5,3,5,4,5,9,7,6,7,6,9.0,8.0,8.0,8.0,7.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,7.0,V,V,D,V,D,V,D,D,V,V,D,D,D,V,V,V,V,V,V,D,V,V,D,D,V,D,,,
ASM Clermont,1925,32.5,9,Franck Azéma  Bernard Goutta  Didier Bès  Xavier Sadourny,Stade Marcel-Michelin (Clermont-Ferrand),19022.0,2018,2,26,16,3,7,93,50,9,4,828,535,293,83,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,V,V,V,V,D,V,D,V,N,V,V,N,V,V,D,V,D,V,V,V,N,D,V,V,D,D,,,
FC Grenoble,2018,18.0,16,Stéphane Glas  Dewald Senekal,Stade des Alpes (Grenoble),20068.0,2018,13,26,5,2,19,32,82,0,5,448,691,-243,29,10,12,13,13,13,13,11,11,11,11,13,12,11.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,D,D,D,D,V,D,V,N,N,D,D,V,D,D,D,D,D,D,D,D,V,V,D,D,D,D,,,
Lyon OU,2016,29.8,5,Pierre Mignoni  Karim Ghezal Kendrick Lynn David Attoub,Matmut Stadium Gerland (Lyon),16000.0,2018,3,26,17,1,8,72,56,7,1,683,525,158,78,8,11,9,5,7,5,3,5,4,8,4,7,5.0,5.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,N,D,V,V,D,V,V,D,V,D,V,D,V,V,V,V,V,D,D,V,V,V,D,V,V,V,,,
Montpellier HR,2003,27.0,1,Vern Cotter  Nathan Hines Alex King,GGL Stadium (Montpellier),15697.0,2018,6,26,14,1,11,82,55,6,6,659,546,113,70,9,5,7,11,8,6,4,7,9,9,9,9,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,6.0,6.0,D,V,N,D,V,V,V,D,D,V,D,D,V,D,D,D,D,V,V,V,V,D,V,V,V,V,,,
Stade français Paris,1997,34.0,12,Heyneke Meyer  Pieter de Villiers  Paul O'Connell Mike Prendergast  John McFarland,Stade Jean-Bouin (Paris),20000.0,2018,8,26,14,0,12,58,62,4,4,583,579,4,64,2,2,4,2,2,2,2,2,3,5,8,6,7.0,4.0,6.0,6.0,6.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,V,V,D,V,V,D,V,V,D,D,D,V,V,V,D,D,V,D,D,V,D,V,D,V,D,V,,,
Section paloise,2015,25.0,8,Simon Mannix  Carl Hayman  Nicolas Godignon  Frédéric Manca,Stade du Hameau (Pau),18324.0,2018,11,26,9,0,17,51,91,2,5,501,763,-262,43,12,8,6,8,10,10,10,10,10,10,11,11,12.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,D,V,V,D,D,V,V,D,D,D,D,D,D,V,V,D,D,V,D,D,D,D,V,D,V,D,,,
USA Perpignan,2018,16.0,15,Christian Lanta  Perry Freshwater  Patrick Arlettaz,Stade Aimé-Giral (Perpignan),14593.0,2018,14,26,2,0,24,41,98,0,4,433,821,-388,12,13,13,14,14,14,14,14,14,14,14,14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,V,D,D,D,V,D,D,D,D,D,D,,,
Racing 92,2009,24.0,2,Laurent Travers  Laurent Labit  Chris Masoe,Paris La Défense Arena (Nanterre),32000.0,2018,4,26,15,1,10,95,55,8,4,750,563,187,74,4,7,2,6,3,3,7,4,5,3,5,4,6.0,6.0,7.0,7.0,8.0,7.0,6.0,4.0,4.0,4.0,5.0,6.0,4.0,4.0,V,D,V,D,V,V,D,V,V,V,D,V,D,V,D,D,D,V,V,V,N,V,D,D,V,V,,,
