Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité,année,Rang,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts,J1_x,J2_x,J3_x,J4_x,J5_x,J6_x,J7_x,J8_x,J9_x,J10_x,J11_x,J12_x,J13_x,J14_x,J15_x,J16_x,J17_x,J18_x,J19_x,J20_x,J21_x,J22_x,J23_x,J24_x,J25_x,J26_x,J1_y,J2_y,J3_y,J4_y,J5_y,J6_y,J7_y,J8_y,J9_y,J10_y,J11_y,J12_y,J13_y,J14_y,J15_y,J16_y,J17_y,J18_y,J19_y,J20_y,J21_y,J22_y,J23_y,J24_y,J25_y,J26_y,JR1,JR2,JR3
Stade français Paris,1997,45.0,2,Paul Gustard,Stade Jean-Bouin. Paris,19607.0,2024,11,12,5,0,7,30,37,2,1,262,304,-42,23,12,11,8,13,11,13,13,12,13,10,12,10,,,,,,,,,,,,,,,D,V,D,D,V,D,D,V,D,V,D,V,,,,,,,,,,,,,,,,,
Union Bordeaux Bègles,2011,30.0,3,Yannick Bru,Stade Chaban-Delmas. Bordeaux,34635.0,2024,1,13,10,0,3,50,34,3,2,384,264,120,45,3,7,2,1,1,1,2,2,2,2,2,1,,,,,,,,,,,,,,,V,D,V,V,V,V,D,V,D,V,V,V,V,,,,,,,,,,,,,,,,
RC Toulon,2008,35.0,4,Pierre Mignoni,Stade Mayol. Toulon,16437.0,2024,3,13,8,0,5,37,30,3,3,327,279,48,38,11,6,6,3,4,5,4,5,5,4,4,3,,,,,,,,,,,,,,,D,V,V,V,D,D,V,D,V,V,V,V,D,,,,,,,,,,,,,,,,
Stade rochelais,2014,37.0,5,Ronan O'Gara,Stade Marcel-Deflandre. La Rochelle,16689.0,2024,6,12,7,0,5,36,29,3,1,287,272,15,32,4,10,5,4,2,3,3,4,3,3,6,6,,,,,,,,,,,,,,,V,D,V,V,V,D,V,D,V,D,D,V,,,,,,,,,,,,,,,,,
Racing 92,2009,27.3,6,Stuart Lancaster,Paris La Défense Arena. Nanterre,30680.0,2024,9,13,5,1,7,36,36,0,4,321,335,-14,26,9,4,11,11,10,9,10,8,8,8,8,9,,,,,,,,,,,,,,,D,V,D,D,V,V,D,V,V,D,D,D,N,,,,,,,,,,,,,,,,
Castres olympique,1989,25.0,7,Jeremy Davidson,Stade Pierre-Fabre. Castres,11778.0,2024,8,13,6,0,7,37,39,1,2,324,363,-39,27,6,5,4,6,3,7,6,7,7,5,7,7,,,,,,,,,,,,,,,V,D,V,D,V,D,V,D,V,V,D,D,D,,,,,,,,,,,,,,,,
ASM Clermont,1925,34.0,8,Christophe Urios,Stade Marcel-Michelin. Clermont-Ferrand,19357.0,2024,5,13,7,0,6,43,34,4,2,331,319,12,34,1,3,3,7,6,8,5,6,6,6,3,5,,,,,,,,,,,,,,,V,D,V,D,V,D,V,D,V,V,V,D,D,,,,,,,,,,,,,,,,
Section paloise,2015,28.0,9,Sébastien Piqueronies,Stade du Hameau. Pau,14999.0,2024,10,13,5,0,8,35,48,3,1,304,369,-65,24,14,9,12,8,8,6,9,10,12,13,10,13,,,,,,,,,,,,,,,D,V,D,V,D,V,D,D,D,D,V,D,V,,,,,,,,,,,,,,,,
USA Perpignan,2021,22.5,10,Franck Azéma,Stade Aimé-Giral. Perpignan,14727.0,2024,13,12,4,0,8,19,34,2,1,207,309,-102,19,8,13,14,12,9,12,11,13,9,11,11,12,,,,,,,,,,,,,,,D,D,D,V,V,D,V,D,V,D,D,D,,,,,,,,,,,,,,,,,
Lyon OU,2016,35.0,11,Karim Ghezal,Matmut Stadium Gerland. Lyon,35052.0,2024,12,13,4,2,7,36,40,1,1,324,362,-38,22,5,2,7,5,7,4,8,9,10,12,13,11,,,,,,,,,,,,,,,V,V,D,V,D,V,D,D,D,D,D,N,N,,,,,,,,,,,,,,,,
Aviron bayonnais,2022,30.0,12,Grégory Patat,Stade Jean-Dauger. Bayonne,14537.0,2024,4,13,9,0,4,39,39,1,1,345,306,39,38,7,12,13,9,12,10,7,3,4,7,5,4,,,,,,,,,,,,,,,V,D,D,V,D,V,V,V,V,D,V,V,V,,,,,,,,,,,,,,,,
Montpellier HR,2003,28.0,13,Joan Caudullo,GGL Stadium. Montpellier,14392.0,2024,7,13,6,0,7,24,24,1,4,270,241,29,29,10,8,10,10,13,11,12,11,11,9,9,8,,,,,,,,,,,,,,,D,V,D,D,D,V,D,V,D,V,D,V,V,,,,,,,,,,,,,,,,
RC Vannes,2024,19.0,16,Jean-Noël Spitzer,Stade de la Rabine. Vannes,11865.0,2024,14,13,3,0,10,38,57,0,3,323,445,-122,15,13,14,9,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,D,D,V,D,D,D,D,V,D,D,V,D,D,,,,,,,,,,,,,,,,
