Club,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,année
SU Agen,13,14,13,13,13,13,13,13,14,14,13,13,11,12,11,13,11,12,11,11,11,11,11,11,11,10,2010
Aviron bayonnais,7,2,6,2,1,1,4,6,8,10,10,9,8,7,8,8,8,7,6,7,8,9,9,9,8,7,2010
Biarritz Olympique,3,9,10,11,11,8,8,7,7,5,4,4,4,5,7,4,4,6,8,6,5,4,6,5,6,5,2010
CS Bourgoin-Jallieu,14,13,14,14,14,14,14,14,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2010
CA Brive,9,4,11,12,8,6,10,11,11,11,11,12,13,11,12,12,13,13,12,12,13,12,12,12,12,12,2010
Castres olympique,10,8,3,7,4,11,7,10,10,9,6,6,6,4,6,7,6,8,5,5,3,3,4,3,4,3,2010
ASM Clermont,12,7,2,6,3,5,9,8,6,8,5,7,7,6,4,5,2,5,3,3,4,7,5,4,3,4,2010
Stade rochelais,6,11,7,9,12,12,12,12,12,12,12,11,12,13,13,11,12,11,13,13,12,13,13,13,13,13,2010
Montpellier HR,11,5,5,3,5,3,2,1,2,1,2,2,2,2,2,3,5,3,4,4,6,5,3,6,7,6,2010
Stade français Paris,1,1,4,1,6,10,11,9,9,6,9,10,9,9,9,9,9,9,10,10,10,10,10,10,10,11,2010
USA Perpignan,4,10,12,10,10,9,6,5,5,7,8,8,10,10,10,10,10,10,9,9,9,6,8,8,9,9,2010
Racing 92,5,12,8,4,7,2,1,2,1,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2010
RC Toulon,8,6,9,8,9,7,5,4,4,4,7,5,5,8,5,6,7,4,7,8,7,8,7,7,5,8,2010
Stade toulousain,2,3,1,5,2,4,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2010
SU Agen,7,3,3,8,7,8,8,5,5,6,6,5,7,5,7,8,6,8,7,8,8,8,8,8,11,10,2011
Aviron bayonnais,6,11,10,10,11,9,12,13,11,12,11,11,12,12,13,14,11,12,13,13,13,13,13,13,12,12,2011
Biarritz Olympique,14,12,12,14,14,13,14,14,14,13,13,14,14,14,12,13,13,13,12,12,11,10,10,9,10,9,2011
Union Bordeaux Bègles,13,8,11,12,10,10,10,10,9,7,8,9,9,8,8,9,9,9,9,9,9,11,12,11,9,8,2011
CA Brive,8,5,8,9,9,11,9,6,8,10,10,10,11,11,11,10,10,10,10,10,10,9,11,12,13,13,2011
Castres olympique,12,4,4,3,2,2,1,2,3,4,4,4,4,3,4,4,4,4,4,5,4,5,6,5,5,4,2011
ASM Clermont,4,2,1,1,1,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2011
Lyon OU,11,13,14,11,12,14,13,12,13,14,14,13,13,13,14,12,14,14,14,14,14,14,14,14,14,14,2011
Montpellier HR,10,14,13,13,13,12,11,11,12,11,9,8,8,9,9,5,5,5,5,4,5,4,4,4,4,5,2011
Stade français Paris,1,7,7,5,8,7,7,9,10,8,7,6,5,6,5,6,7,6,8,7,6,7,7,7,7,7,2011
USA Perpignan,3,10,6,4,4,4,5,8,7,9,12,12,10,10,10,11,12,11,11,11,12,12,9,10,8,11,2011
Racing 92,5,1,2,7,6,6,6,7,6,5,5,7,6,7,6,7,8,7,6,6,7,6,5,6,6,6,2011
RC Toulon,2,9,9,6,5,5,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2011
Stade toulousain,9,6,5,2,3,1,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2011
SU Agen,10,12,12,13,13,11,10,12,13,12,12,13,13,13,12,12,13,13,12,13,13,13,13,13,13,13,2012
Aviron bayonnais,12,5,10,9,11,13,11,10,12,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,10,8,2012
Biarritz Olympique,1,1,1,2,3,5,4,8,9,9,7,7,9,7,7,10,10,10,10,9,10,9,8,8,11,9,2012
Union Bordeaux Bègles,9,6,9,12,10,12,13,13,11,13,13,12,12,12,13,13,12,12,13,12,12,12,12,12,12,12,2012
Castres olympique,8,4,5,6,5,6,8,6,5,5,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,2012
ASM Clermont,3,7,3,4,2,2,1,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,1,1,2012
FC Grenoble,7,11,8,5,6,8,6,5,6,6,6,6,6,6,5,6,6,6,7,8,8,8,9,10,9,11,2012
Stade Montois,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2012
Montpellier HR,13,10,7,8,9,7,5,4,4,4,4,5,5,5,6,4,4,5,5,5,7,6,5,6,6,5,2012
Stade français Paris,2,9,11,11,12,10,12,11,10,10,8,10,8,10,10,9,9,9,9,10,9,10,10,9,8,10,2012
USA Perpignan,11,13,13,10,8,9,9,9,8,7,9,8,7,8,8,7,8,8,8,7,6,7,7,7,7,7,2012
Racing 92,5,8,6,7,7,4,7,7,7,8,10,9,11,9,9,8,7,7,6,6,5,5,6,5,5,6,2012
RC Toulon,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2012
Stade toulousain,6,2,4,3,4,3,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2012
Aviron bayonnais,1,8,3,9,12,12,13,13,13,12,12,12,12,13,12,13,13,11,13,13,11,12,13,12,11,10,2013
Biarritz Olympique,11,5,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2013
Union Bordeaux Bègles,2,9,5,8,11,9,10,12,10,11,11,11,10,9,9,9,10,9,10,10,9,8,7,7,8,8,2013
