Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité,année
FC Grenoble,2012.0,21.73,11.0,Fabrice Landreau  Bernard Jackman  Sylvain Bégon  Mike Prendergast,Stade des Alpes,20068.0,2015
Montpellier HR,2003.0,23.46,8.0,Jake White  Shaun Sowerby Scott Wisemantel,Altrad Stadium,15000.0,2015
US Oyonnax,2013.0,16.01,6.0,Olivier Azam puis Johann Authier  Pascal Peyron  Stéphane Glas,Stade Charles-Mathon,11400.0,2015
Stade français Paris,1997.0,27.65,4.0,Gonzalo Quesada  Simon Raiwalui,Stade Jean-Bouin,20000.0,2015
Section paloise,2015.0,17.31,15.0,Simon Mannix[2]  Joël Rey  David Aucagne,Stade du Hameau,13800.0,2015
Stade rochelais,2014.0,16.43,9.0,Patrice Collazo  Xavier Garbajosa,Stade Marcel-Deflandre,15000.0,2015
RC Toulon,2008.0,26.86,1.0,Bernard Laporte  Jacques Delmas[3]  Steve Meehan,Stade Mayol,15820.0,2015
Stade toulousain,1907.0,30.87,3.0,Ugo Mola  Jean-Baptiste Élissalde  William Servat,Stade Ernest-Wallon,19500.0,2015
Aviron bayonnais,2016.0,16.8,16.0,Vincent Etcheto  Dewald Senekal,Stade Jean-Dauger (Bayonne),16934.0,2016
Union Bordeaux Bègles,2011.0,24.2,7.0,Raphaël Ibañez  Jacques Brunel  Émile Ntamack  Joe Worsley,Stade Chaban-Delmas (Bordeaux) Stade Matmut-Atlantique (Bordeaux),,2016
CA Brive,2013.0,16.4,8.0,Nicolas Godignon  Didier Casadeï  Philippe Carbonneau,Stade Amédée-Domenech (Brive-la-Gaillarde),13979.0,2016
Castres olympique,1989.0,20.6,6.0,Christophe Urios  Joe El Abd  Frédéric Charrier,Stade Pierre-Antoine (Castres),11500.0,2016
ASM Clermont,1926.0,30.5,1.0,Franck Azéma  Jono Gibbes,Stade Marcel-Michelin (Clermont-Ferrand),19022.0,2016
Racing 92,2009.0,25.4,4.0,Laurent Travers  Laurent Labit  Ronan O'Gara,Stade Yves-du-Manoir (Colombes) Stade Pierre-Mauroy (Villeneuve-d'Ascq),,2016
FC Grenoble,2012.0,21.7,10.0,Bernard Jackman  Aaron Dundon  Mike Prendergast,Stade des Alpes (Grenoble),20068.0,2016
Montpellier HR,2003.0,24.2,3.0,Jake White  Shaun Sowerby Scott Wisemantel,Altrad Stadium (Montpellier),15000.0,2016
Lyon OU,2016.0,24.6,15.0,Pierre Mignoni  Sébastien Bruno David Ellis,Matmut Stadium Gerland (Lyon) Matmut Stadium (Vénissieux),24000.0,2016
Stade français Paris,1997.0,27.6,12.0,Gonzalo Quesada  Simon Raiwalui  Greg Cooper,Stade Jean-Bouin (Paris),20000.0,2016
Section paloise,2015.0,19.6,11.0,Simon Mannix  Carl Hayman  Frédéric Manca,Stade du Hameau (Pau),13800.0,2016
Stade rochelais,2014.0,18.2,9.0,Patrice Collazo  Xavier Garbajosa,Stade Marcel-Deflandre (La Rochelle),15000.0,2016
RC Toulon,2008.0,25.5,2.0,Mike Ford  Marc Dal Maso,Stade Mayol (Toulon) Orange Vélodrome (Marseille),,2016
Stade toulousain,1907.0,31.5,5.0,Ugo Mola  Jean-Baptiste Élissalde  William Servat,Stade Ernest-Wallon (Toulouse) Stadium (Toulouse),,2016
Union Bordeaux Bègles,2011.0,24.68,11.0,Jacques Brunel  Rory Teague  Jeremy Davidson  Joe Worsley,Stade Chaban-Delmas (Bordeaux),34694.0,2017
CA Brive,2013.0,17.58,8.0,Nicolas Godignon  Didier Casadeï  Philippe Carbonneau  Jean-Baptiste Péjoine Sébastien Bonnet,Stade Amédée-Domenech (Brive-la-Gaillarde),13979.0,2017
Castres olympique,1989.0,21.73,5.0,Christophe Urios  Joe El Abd  Frédéric Charrier,Stade Pierre-Fabre (Castres),12500.0,2017
ASM Clermont,1925.0,31.55,2.0,Franck Azéma  Bernard Goutta  Didier Bès  Xavier Sadourny,Stade Marcel-Michelin (Clermont-Ferrand),19022.0,2017
Montpellier HR,2003.0,26.9,3.0,Vern Cotter  Nathan Hines Alex King,Altrad Stadium (Montpellier),15697.0,2017
US Oyonnax,2017.0,15.42,15.0,Adrien Buononato  Jamie Cudmore  Vincent Krischer  Mike Prendergast,Stade Charles-Mathon (Oyonnax),11400.0,2017
Lyon OU,2016.0,27.08,10.0,Pierre Mignoni  Sébastien Bruno  David Attoub  Karim Ghezal Kendrick Lynn,Matmut Stadium Gerland (Lyon),35029.0,2017
Racing 92,2009.0,24.91,6.0,Laurent Travers  Laurent Labit  Ronan O'Gara  Chris Masoe,U Arena (Nanterre) Stade olympique Yves-du-Manoir (Colombes),,2017
Stade français Paris,1997.0,30.16,7.0,Greg Cooper  Olivier Azam  Julien Dupuy,Stade Jean-Bouin (Paris),15500.0,2017
Section paloise,2015.0,23.02,9.0,Simon Mannix  Carl Hayman  Frédéric Manca,Stade du Hameau (Pau),18324.0,2017
SU Agen,2017.0,12.32,16.0,Philippe Sella  Stéphane Prosper  Mauricio Reggiardo,Stade Armandie (Agen),14042.0,2017
Stade rochelais,2014.0,22.81,1.0,Patrice Collazo  Xavier Garbajosa,Stade Marcel-Deflandre (La Rochelle),16000.0,2017
RC Toulon,2008.0,26.39,4.0,Fabien Galthié  Fabrice Landreau  Marc Dal Maso  Manny Edmonds,Stade Mayol (Toulon),18200.0,2017
Stade toulousain,1907.0,30.86,12.0,Ugo Mola  William Servat  Pierre-Henry Broncan  Jean Bouilhou,Stade Ernest-Wallon (Toulouse),19500.0,2017
SU Agen,2017.0,13.8,11.0,Philippe Sella  Stéphane Prosper  Mauricio Reggiardo,Stade Armandie (Agen),14042.0,2018
Union Bordeaux Bègles,2011.0,23.0,10.0,Rory Teague  Luke Narraway  Joe Worsley  Jean-Baptiste Poux  Brock James,Stade Chaban-Delmas (Bordeaux),34694.0,2018
Castres olympique,1989.0,23.7,6.0,Christophe Urios  Joe El Abd  Frédéric Charrier,Stade Pierre-Fabre (Castres),12500.0,2018
ASM Clermont,1925.0,32.5,9.0,Franck Azéma  Bernard Goutta  Didier Bès  Xavier Sadourny,Stade Marcel-Michelin (Clermont-Ferrand),19022.0,2018
FC Grenoble,2018.0,18.0,16.0,Stéphane Glas  Dewald Senekal,Stade des Alpes (Grenoble),20068.0,2018
Lyon OU,2016.0,29.8,5.0,Pierre Mignoni  Karim Ghezal Kendrick Lynn David Attoub,Matmut Stadium Gerland (Lyon),16000.0,2018
Montpellier HR,2003.0,27.0,1.0,Vern Cotter  Nathan Hines Alex King,GGL Stadium (Montpellier),15697.0,2018
Stade français Paris,1997.0,34.0,12.0,Heyneke Meyer  Pieter de Villiers  Paul O'Connell Mike Prendergast  John McFarland,Stade Jean-Bouin (Paris),20000.0,2018
Section paloise,2015.0,25.0,8.0,Simon Mannix  Carl Hayman  Nicolas Godignon  Frédéric Manca,Stade du Hameau (Pau),18324.0,2018
USA Perpignan,2018.0,16.0,15.0,Christian Lanta  Perry Freshwater  Patrick Arlettaz,Stade Aimé-Giral (Perpignan),14593.0,2018
Racing 92,2009.0,24.0,2.0,Laurent Travers  Laurent Labit  Chris Masoe,Paris La Défense Arena (Nanterre),32000.0,2018
