Club,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,année
FC Grenoble,V,D,V,V,D,D,V,V,D,V,V,D,V,V,V,D,D,V,D,D,D,D,D,D,V,D,2012
Stade Montois,D,D,D,D,D,D,D,D,D,D,V,D,D,D,D,D,V,D,D,D,D,D,D,D,D,D,2012
Montpellier HR,D,V,V,D,D,V,V,V,V,V,D,V,D,V,D,V,V,D,V,D,D,V,V,V,D,V,2012
Racing 92,V,D,V,D,V,V,D,D,D,D,D,V,D,V,V,V,V,V,V,V,V,V,D,V,D,V,2012
Stade français Paris,V,D,D,N,D,V,D,V,V,D,V,D,V,D,V,V,D,V,D,D,V,D,D,V,V,D,2012
Stade toulousain,V,V,D,V,D,V,V,V,D,V,V,V,D,V,V,V,D,D,V,D,V,V,V,D,D,V,2012
RC Toulon,V,V,V,V,V,V,D,V,V,V,D,V,V,V,D,V,D,V,D,V,V,D,V,N,D,V,2012
USA Perpignan,D,D,D,V,V,D,V,D,V,D,D,V,V,D,V,V,D,V,V,V,V,D,D,V,D,D,2012
Union Bordeaux Bègles,D,V,D,D,V,D,D,D,V,D,D,D,D,D,D,D,V,D,D,V,D,V,V,N,V,D,2012
Aviron bayonnais,V,D,V,D,D,D,D,V,D,V,D,V,D,D,V,D,V,V,D,D,V,D,D,V,N,V,2013
Biarritz Olympique,D,V,D,D,D,D,D,D,D,D,V,V,D,D,D,D,D,D,D,V,D,D,N,D,V,D,2013
CA Brive,D,V,D,D,V,D,V,N,V,D,V,D,D,N,D,V,V,D,V,D,V,D,V,D,D,V,2013
Castres olympique,D,V,D,V,D,V,D,V,D,V,N,V,V,V,D,V,D,V,D,V,D,V,N,D,V,D,2013
ASM Clermont,V,D,V,V,D,V,D,V,D,V,N,V,V,V,V,D,D,V,D,V,D,V,D,V,D,V,2013
