Club,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,année
RC Toulon,11,13,10,7,9,7,5,4,2,5,3,5,5,5,6,7,5,8.0,5.0,4.0,4.0,6.0,4.0,4.0,3.0,4.0,2023
Stade toulousain,13,7,5,5,6,5,7,6,6,7,7,4,4,2,2,2,2,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2023
Aviron bayonnais,7,12,13,9,12,10,7,3,4,7,5,4,4,5,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2024
Union Bordeaux Bègles,3,7,2,1,1,1,2,2,2,2,2,1,2,1,1,2,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2024
Castres olympique,6,5,4,6,3,7,6,7,7,5,7,7,8,8,7,6,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,2024
ASM Clermont,1,3,3,7,6,8,5,6,6,6,3,5,5,4,5,5,6,7.0,9.0,6.0,7.0,6.0,8.0,7.0,7.0,5.0,2024
Lyon OU,5,2,7,5,7,4,8,9,10,12,13,11,13,10,9,8,8,6.0,6.0,7.0,6.0,8.0,9.0,11.0,11.0,11.0,2024
Montpellier HR,10,8,10,10,13,11,12,11,11,9,9,8,7,7,8,9,9,8.0,10.0,8.0,9.0,9.0,6.0,8.0,9.0,9.0,2024
Stade français Paris,12,11,8,13,11,13,13,12,13,10,12,10,11,13,13,12,14,11.0,11.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,2024
Section paloise,14,9,12,8,8,6,9,10,12,13,10,13,10,11,10,11,10,10.0,7.0,9.0,10.0,11.0,10.0,9.0,8.0,8.0,2024
USA Perpignan,8,13,14,12,9,12,11,13,9,11,11,12,12,12,11,10,12,13.0,13.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0,2024
Racing 92,9,4,11,11,10,9,10,8,8,8,8,9,9,9,12,13,11,12.0,12.0,11.0,11.0,10.0,11.0,10.0,10.0,10.0,2024
Stade rochelais,4,10,5,4,2,3,3,4,3,3,6,6,6,6,6,7,7,9.0,8.0,10.0,8.0,7.0,7.0,6.0,6.0,7.0,2024
RC Toulon,11,6,6,3,4,5,4,5,5,4,4,3,3,3,3,3,2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2024
Stade toulousain,2,1,1,2,5,2,1,1,1,1,1,2,1,2,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2024
RC Vannes,13,14,9,14,14,14,14,14,14,14,14,14,14,14,14,14,13,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2024
