Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité,année
Stade toulousain,1907,37.2,1,Ugo Mola  Régis Sonnes  Clément Poitrenaud  Laurent Thuéry  Virgile Lacombe  Alan-Basson Zondagh,Stade Ernest-Wallon (Toulouse),19500.0,2019
SU Agen,2017,13.2,13,Philippe Sella. Christophe Laussucq. Rémy Vaquin. Benoît Lecouls. Régis Sonnes. David Ortiz. Sylvain Mirande,Stade Armandie (Agen),14042.0,2020
Aviron bayonnais,2019,15.6,9,Yannick Bru. Joël Rey. Rémy Ladauge,Stade Jean-Dauger (Bayonne),16934.0,2020
Union Bordeaux Bègles,2011,25.3,1,Christophe Urios. Frédéric Charrier. Julien Laïrle. Jean-Baptiste Poux.  Heini Adams,Stade Chaban-Delmas (Bordeaux),33290.0,2020
CA Brive,2019,15.5,11,Jeremy Davidson  Marc Dal Maso. Jean-Baptiste Péjoine,Stade Amédée-Domenech (Brive-la-Gaillarde),13979.0,2020
Castres olympique,1989,23.0,10,Mauricio Reggiardo  Stéphane Prosper. Pierre-Henry Broncan. David Darricarrère  Joe Worsley,Stade Pierre-Fabre (Castres),12500.0,2020
ASM Clermont,1925,28.9,6,Franck Azéma. Bernard Goutta. Xavier Sadourny. Didier Bès  Benson Stanley,Stade Marcel-Michelin (Clermont-Ferrand),19022.0,2020
Lyon OU,2016,32.9,2,Pierre Mignoni. David Gérard. David Attoub  Kendrick Lynn,Matmut Stadium Gerland (Lyon),35029.0,2020
Montpellier HR,2003,29.1,8,Xavier Garbajosa. Pierre-Philippe Lafond. Philippe Saint-André. Olivier Azam. Jean-Baptiste Élissalde,GGL Stadium (Montpellier),15697.0,2020
Stade français Paris,1997,38.8,14,Gonzalo Quesada  Laurent Sempéré. Julien Arias,Stade Jean-Bouin (Paris),20000.0,2020
Section paloise,2015,22.5,12,Nicolas Godignon. Frédéric Manca. Thomas Domingo. Geoffrey Lanne-Petit. Sébastien Piqueronies  Paul Tito,Stade du Hameau (Pau),14588.0,2020
Racing 92,2009,28.9,3,Laurent Travers. Dimitri Szarzewski  Mike Prendergast  Patricio Noriega.,Paris La Défense Arena (Nanterre),32000.0,2020
Stade rochelais,2014,25.9,5,Jono Gibbes  Ronan O'Gara  Grégory Patat,Stade Marcel-Deflandre (La Rochelle),16000.0,2020
RC Toulon,2008,32.5,4,Patrice Collazo. Éric Dasalmartini. Julien Dupuy,Stade Mayol (Toulon),18200.0,2020
Stade toulousain,1907,36.6,7,Ugo Mola. Jean Bouilhou. Clément Poitrenaud. Laurent Thuéry. Virgile Lacombe  Alan-Basson Zondagh,Stade Ernest-Wallon (Toulouse),19500.0,2020
Stade toulousain,1907,37.3,1,Ugo Mola,Stade Ernest-Wallon. Toulouse,19500.0,2021
Stade rochelais,2014,27.9,2,Ronan O'Gara,Stade Marcel-Deflandre. La Rochelle,16000.0,2021
Racing 92,2009,29.1,3,Laurent Travers,Paris La Défense Arena. Nanterre,32000.0,2021
Union Bordeaux Bègles,2011,26.2,4,Christophe Urios,Stade Chaban-Delmas. Bordeaux,34694.0,2021
ASM Clermont,1925,31.2,5,Jono Gibbes,Stade Marcel-Michelin. Clermont-Ferrand,19022.0,2021
Stade français Paris,1997,39.1,6,Gonzalo Quesada,Stade Jean-Bouin. Paris,20000.0,2021
Castres olympique,1989,22.8,7,Pierre-Henry Broncan,Stade Pierre-Fabre. Castres,12500.0,2021
RC Toulon,2008,32.0,8,Franck Azéma,Stade Mayol. Toulon,18200.0,2021
Lyon OU,2016,36.0,9,Pierre Mignoni,Matmut Stadium Gerland. Lyon,35029.0,2021
Montpellier HR,2003,28.6,10,Philippe Saint-André,GGL Stadium. Montpellier,15697.0,2021
CA Brive,2019,17.6,11,Jeremy Davidson,Stade Amédée-Domenech. Brive-la-Gaillarde,13979.0,2021
Section paloise,2015,22.6,12,Sébastien Piqueronies,Stade du Hameau. Pau,14588.0,2021
USA Perpignan,2021,17.4,15,Patrick Arlettaz,Stade Aimé-Giral. Perpignan,14593.0,2021
Biarritz olympique,2021,12.8,17,Matthew Clarkin,Parc des sports d'Aguiléra. Biarritz,13400.0,2021
Castres olympique,1989,23.4,1,Pierre-Henry Broncan,Stade Pierre-Fabre. Castres,12500.0,2022
Montpellier HR,2003,30.4,2,Philippe Saint-André,GGL Stadium. Montpellier,15697.0,2022
Union Bordeaux Bègles,2011,29.7,3,Julien Laïrle  Frédéric Charrier,Stade Chaban-Delmas. Bordeaux,34694.0,2022
Stade toulousain,1907,43.7,4,Ugo Mola,Stade Ernest-Wallon. Toulouse,19500.0,2022
Stade rochelais,2014,30.8,5,Ronan O'Gara,Stade Marcel-Deflandre. La Rochelle,16000.0,2022
Racing 92,2009,29.4,6,Laurent Travers,Paris La Défense Arena. Nanterre,32000.0,2022
ASM Clermont,1925,32.5,7,Christophe Urios,Stade Marcel-Michelin. Clermont-Ferrand,19022.0,2022
RC Toulon,2008,38.3,8,Pierre Mignoni,Stade Mayol. Toulon,18200.0,2022
Lyon OU,2016,34.6,9,Xavier Garbajosa,Matmut Stadium Gerland. Lyon,35029.0,2022
Section paloise,2015,24.6,10,Sébastien Piqueronies,Stade du Hameau. Pau,14588.0,2022
Stade français Paris,1997,41.3,11,Gonzalo Quesada,Stade Jean-Bouin. Paris,20000.0,2022
CA Brive,2019,19.8,12,Patrice Collazo,Stade Amédée-Domenech. Brive-la-Gaillarde,13979.0,2022
USA Perpignan,2021,17.8,13,Patrick Arlettaz,Stade Aimé-Giral. Perpignan,14593.0,2022
Aviron bayonnais,2022,21.6,16,Grégory Patat,Stade Jean-Dauger. Bayonne,18069.0,2022
Stade toulousain,1907,62.525,1,Ugo Mola,Stade Ernest-Wallon. Toulouse,19500.0,2023
Stade rochelais,2014,40.026,2,Ronan O'Gara,Stade Marcel-Deflandre. La Rochelle,16700.0,2023
Lyon OU,2016,58.555,3,Fabien Gengenbacher,Matmut Stadium Gerland. Lyon,35029.0,2023
Stade français Paris,1997,46.117,4,Laurent Labit,Stade Jean-Bouin. Paris,20000.0,2023
Racing 92,2009,36.048,5,Stuart Lancaster,Paris La Défense Arena. Nanterre,32000.0,2023
Union Bordeaux Bègles,2011,40.879,6,Yannick Bru,Stade Chaban-Delmas. Bordeaux,28500.0,2023
RC Toulon,2008,42.385,7,Pierre Mignoni,Stade Mayol. Toulon,18200.0,2023
Aviron bayonnais,2022,29.4,8,Grégory Patat,Stade Jean-Dauger. Bayonne,18069.0,2023
Castres olympique,1989,26.466,9,Jeremy Davidson,Stade Pierre-Fabre. Castres,12500.0,2023
ASM Clermont,1925,39.584,10,Christophe Urios,Stade Marcel-Michelin. Clermont-Ferrand,19022.0,2023
Montpellier HR,2003,35.391,11,Patrice Collazo,GGL Stadium. Montpellier,15697.0,2023
Section paloise,2015,29.067,12,Sébastien Piqueronies,Stade du Hameau. Pau,14588.0,2023
USA Perpignan,2021,21.976,13,Franck Azéma,Stade Aimé-Giral. Perpignan,14593.0,2023
Oyonnax Rugby,2023,18.315,15,Joe El Abd,Stade Charles-Mathon. Oyonnax,11400.0,2023
Stade toulousain,1907,49.0,1,Ugo Mola,Stade Ernest-Wallon. Toulouse,18784.0,2024
Stade français Paris,1997,45.0,2,Laurent Labit,Stade Jean-Bouin. Paris,19607.0,2024
Union Bordeaux Bègles,2011,30.0,3,Yannick Bru,Stade Chaban-Delmas. Bordeaux,34635.0,2024
RC Toulon,2008,35.0,4,Pierre Mignoni,Stade Mayol. Toulon,16437.0,2024
Stade rochelais,2014,37.0,5,Ronan O'Gara,Stade Marcel-Deflandre. La Rochelle,16689.0,2024
Racing 92,2009,27.3,6,Patrice Collazo,Paris La Défense Arena. Nanterre,30680.0,2024
Castres olympique,1989,25.0,7,Xavier Sadourny,Stade Pierre-Fabre. Castres,11778.0,2024
ASM Clermont,1925,34.0,8,Christophe Urios,Stade Marcel-Michelin. Clermont-Ferrand,19357.0,2024
Section paloise,2015,28.0,9,Sébastien Piqueronies,Stade du Hameau. Pau,14999.0,2024
USA Perpignan,2021,22.5,10,Franck Azéma,Stade Aimé-Giral. Perpignan,14727.0,2024
Lyon OU,2016,35.0,11,Karim Ghezal,Matmut Stadium Gerland. Lyon,35052.0,2024
Aviron bayonnais,2022,30.0,12,Grégory Patat,Stade Jean-Dauger. Bayonne,14537.0,2024
Montpellier HR,2003,28.0,13,Joan Caudullo,GGL Stadium. Montpellier,14392.0,2024
RC Vannes,2024,19.0,16,Jean-Noël Spitzer,Stade de la Rabine. Vannes,11865.0,2024
