Club,1,2,3,4,5,6,7,8,9,10,11,12,13,14,année
FC Grenoble,11-29,28-25,6-16,27-27,-,23-24,17-16,21-17,21-24,31-22,16-34,21-28,19-18,20-23,2018
Lyon OU,52-20,34-10,15-23,19-13,34-6,-,55-13,41-6,30-10,47-9,32-11,29-19,42-33,16-16,2018
Montpellier HR,33-17,37-10,20-25,23-28,47-12,14-25,-,42-25,41-13,10-28,13-27,36-14,29-17,66-15,2018
Stade français Paris,25-22,20-8,32-16,25-41,23-20,13-24,25-20,-,31-17,27-8,16-17,12-14,37-10,9-28,2018
Section paloise,27-17,40-23,9-14,23-27,22-0,24-27,14-25,13-25,-,12-9,29-27,23-28,20-10,13-15,2018
USA Perpignan,13-20,11-22,12-16,16-37,22-16,16-22,20-23,15-46,24-30,-,14-52,29-49,11-24,18-36,2018
Racing 92,59-7,45-27,27-11,17-40,24-23,13-19,26-25,23-27,48-28,64-28,-,50-14,22-13,29-34,2018
Stade rochelais,33-29,81-12,53-27,16-12,28-21,30-13,27-25,14-27,71-21,37-10,16-11,-,30-21,19-23,2018
RC Toulon,33-3,45-17,28-27,32-11,22-3,40-7,18-21,33-30,38-11,26-16,9-25,9-13,-,25-10,2018
Stade toulousain,10-0,40-0,22-26,47-44,29-16,53-21,27-14,49-20,83-6,47-7,30-17,33-26,39-0,-,2018
Clubs,SU Agen,Aviron bayonnais,Union Bordeaux Bègles,BRI,Castres olympique,ASM Clermont,Lyon OU,Montpellier HR,Stade français Paris,Section paloise,Racing 92,Stade rochelais,RC Toulon,Stade toulousain,2019
SU Agen,-,27-29,-,16-10,24-43,15-32,12-13,29-10,27-14,-,-,-,25-44,8-13,2019
Aviron bayonnais,22-23,-,-,6-6,27-17,30-34,-,28-24,28-17,3-9,-,23-22,-,20-10,2019
Union Bordeaux Bègles,23-0,22-3,-,-,26-24,42-15,37-19,-,52-3,-,-,20-15,34-12,30-25,2019
CA Brive,16-30,-,30-9,-,-,28-21,30-16,-,26-21,33-26,20-44,-,39-17,23-9,2019
Castres olympique,30-27,-,32-34,28-26,-,-,29-12,26-25,46-16,26-16,0-27,-,-,-,2019
ASM Clermont,30-13,-,22-31,-,39-22,-,24-15,20-13,29-19,28-37,-,28-10,-,-,2019
Lyon OU,-,52-9,25-23,59-3,-,-,-,-,43-9,27-8,29-20,45-17,27-12,22-12,2019
Montpellier HR,-,31-29,17-17,29-26,-,-,33-8,-,20-20,43-22,-,30-16,-,33-22,2019
Stade français Paris,-,33-27,-,-,-,18-32,-,-,-,21-18,9-25,21-20,33-30,30-18,2019
Section paloise,18-12,-,23-27,33-14,37-24,20-23,-,19-15,-,-,3-31,13-44,9-19,-,2019
Racing 92,27-27,17-24,30-34,-,23-14,27-19,20-31,29-25,-,-,-,49-0,-,30-27,2019
Stade rochelais,40-8,-,-,41-17,22-13,-,-,35-30,28-26,-,12-6,-,17-12,28-13,2019
RC Toulon,-,20-9,-,34-17,43-3,41-19,6-20,19-19,19-18,-,32-29,23-3,-,-,2019
Stade toulousain,-,45-10,22-14,-,36-15,34-8,-,25-7,-,24-23,20-17,-,13-13,-,2019
"Résultats (▼dom., ►ext.)",SU Agen,Aviron bayonnais,BOR,BRI,Castres olympique,ASM Clermont,LYO,MON,Stade français Paris,Section paloise,Racing 92,LAR,TLN,TLS,2020
SU Agen,—,15-26,3-49,6-15,22-26,16-52,16-19,19-39,3-20,7-47,14-54,13-43,9-38,0-59,2020
Aviron bayonnais,48-20,—,22-47,26-23,23-26,21-19,20-28,29-20,9-12,22-23,23-13,19-36,35-29,20-24,2020
Union Bordeaux Bègles,71-5,43-19,—,25-20,20-16,16-16,31-9,57-9,44-6,29-23,12-17,11-26,31-18,10-21,2020
CA Brive,57-3,42-23,25-23,—,28-33,21-43,12-8,23-22,28-31,19-13,19-23,24-12,25-23,16-36,2020
Castres olympique,39-23,31-21,29-30,24-25,—,14-40,37-29,48-17,16-22,38-33,28-26,22-15,46-24,26-24,2020
ASM Clermont,31-12,73-3,36-37,37-27,59-19,—,26-18,15-21,41-27,50-29,22-24,25-20,25-16,33-30,2020
Lyon OU,52-7,62-10,27-10,24-7,14-15,41-30,—,24-20,20-19,17-18,23-27,22-18,54-16,31-23,2020
Montpellier HR,42-13,23-19,22-23,30-6,19-21,22-16,16-21,—,31-6,23-26,22-24,32-22,29-10,9-16,2020
Stade français Paris,40-21,19-26,26-16,51-21,29-9,27-34,46-27,32-10,—,46-32,25-27,35-13,24-23,48-14,2020
Section paloise,33-23,43-33,29-24,27-32,13-17,31-42,29-29,41-25,29-27,—,29-35,24-35,29-33,16-22,2020
Racing 92,45-10,43-17,32-33,55-12,23-20,45-19,34-26,41-17,29-35,24-22,—,26-22,23-29,24-30,2020
Stade rochelais,59-0,40-3,20-6,36-22,62-3,19-10,38-23,22-9,16-11,51-27,9-6,—,29-15,11-14,2020
RC Toulon,34-17,14-16,25-19,35-19,19-6,27-9,36-14,25-21,35-13,18-13,25-21,11-29,—,44-10,2020
Stade toulousain,63-18,28-32,45-23,42-17,16-16,36-27,7-16,16-29,48-24,31-9,34-16,39-23,39-19,—,2020
"Résultats (▼dom., ►ext.)",BIA,BOR,BRI,Castres olympique,ASM Clermont,LYO,MON,Stade français Paris,Section paloise,USA Perpignan,Racing 92,LAR,TLN,TLS,2021
Biarritz olympique,—,27-15,37-9,13-48,8-26,5-40,12-27,17-14,19-42,23-25,28-19,27-24,17-45,11-17,2021
Union Bordeaux Bègles,30-27,—,29-10,23-10,25-9,42-10,27-23,37-10,16-23,39-13,13-16,15-16,16-29,17-7,2021
CA Brive,33-10,19-22,—,28-12,27-20,17-31,16-16,19-12,30-13,36-15,12-10,6-8,17-10,8-26,2021
Castres olympique,38-20,23-23,23-22,—,12-0,19-17,25-9,15-9,16-12,28-12,25-3,31-30,27-16,19-13,2021
ASM Clermont,39-11,29-26,41-10,30-34,—,25-16,20-15,29-26,42-20,52-12,26-17,23-22,31-16,16-13,2021
Lyon OU,34-15,15-20,41-0,30-23,28-19,—,43-20,26-22,35-10,47-3,37-35,26-29,10-43,25-19,2021
Montpellier HR,37-22,22-23,39-17,25-24,20-22,30-8,—,30-3,29-12,30-6,22-13,21-11,18-16,15-17,2021
Stade français Paris,65-19,18-31,17-33,34-10,22-14,23-18,27-31,—,21-18,27-17,21-36,25-20,26-24,23-16,2021
Section paloise,33-21,33-37,43-20,16-26,28-20,21-17,23-22,18-9,—,27-22,21-42,16-22,16-16,27-22,2021
USA Perpignan,33-20,22-15,27-10,19-20,26-24,23-28,13-23,22-23,14-29,—,34-13,22-13,12-9,36-13,2021
Racing 92,40-7,14-37,57-19,45-25,33-28,24-20,21-32,53-20,35-29,17-14,—,23-10,21-16,27-18,2021
Stade rochelais,59-17,26-3,41-15,29-10,31-27,25-3,23-29,32-13,36-8,32-16,19-0,—,39-6,16-20,2021
RC Toulon,13-9,21-18,13-9,10-22,32-22,19-13,24-24,38-5,37-20,29-18,20-27,41-11,—,19-15,2021
Stade toulousain,80-7,12-11,18-11,41-0,27-15,27-19,35-10,28-29,38-10,37-15,15-20,23-16,41-10,—,2021
"Résultats (▼dom., ►ext.)",Aviron bayonnais,BOR,BRI,Castres olympique,ASM Clermont,LYO,MON,Stade français Paris,Section paloise,USA Perpignan,Racing 92,LAR,TLN,TLS,2022
Aviron bayonnais,—,20-15,37-9,41-10,21-18,19-7,33-30,29-26,20-30,24-20,31-25,29-13,23-18,26-22,2022
Union Bordeaux Bègles,23-15,—,33-13,33-12,18-9,23-9,40-10,15-10,28-0,43-7,29-17,6-36,27-26,25-26,2022
CA Brive,25-22,7-28,—,13-16,20-16,27-31,26-31,22-27,22-17,22-24,38-43,17-19,26-17,7-45,2022
Castres olympique,39-22,23-18,12-6,—,26-22,27-22,26-13,30-20,26-22,26-16,26-26,17-32,31-18,27-17,2022
ASM Clermont,20-25,23-23,38-10,41-26,—,43-20,19-14,32-16,33-24,31-20,32-25,22-13,36-21,13-32,2022
Lyon OU,53-19,36-21,27-30,26-20,34-14,—,31-21,33-27,31-27,41-31,45-11,21-23,23-27,21-14,2022
Montpellier HR,35-14,29-19,26-27,19-28,34-6,26-33,—,23-19,43-17,38-10,17-12,42-31,18-20,17-19,2022
Stade français Paris,26-16,12-6,27-0,26-7,24-18,31-31,27-17,—,37-3,52-3,13-17,27-14,12-17,19-10,2022
Section paloise,22-22,33-7,22-6,40-3,23-18,12-21,35-10,29-31,—,16-14,38-19,32-36,17-34,26-16,2022
USA Perpignan,34-27,23-20,6-17,14-10,10-20,28-21,22-23,31-24,49-29,—,30-21,10-29,19-13,26-21,2022
Racing 92,55-14,31-28,34-24,25-19,46-12,32-19,38-31,10-48,26-13,44-20,—,39-36,43-7,35-39,2022
Stade rochelais,26-6,8-12,32-16,53-7,26-13,16-20,26-22,14-10,21-38,43-8,24-19,—,32-5,30-7,2022
RC Toulon,40-25,35-19,47-0,28-20,30-29,21-3,16-26,37-9,27-16,37-15,14-31,8-23,—,17-6,2022
Stade toulousain,21-16,31-17,54-10,22-18,46-10,36-31,23-9,16-16,34-10,34-13,37-10,26-17,28-8,—,2022
"Résultats (▼dom., ►ext.)",Aviron bayonnais,BOR,Castres olympique,ASM Clermont,LYO,MON,US Oyonnax,Stade français Paris,Section paloise,USA Perpignan,Racing 92,LAR,TLN,TLS,2023
Aviron bayonnais,—,15-34,17-28,21-13,39-10,34-19,21-17,16-3,35-16,23-20,27-23,13-12,10-46,26-7,2023
Union Bordeaux Bègles,24-23,—,25-23,41-7,46-10,26-13,40-7,26-30,10-20,46-22,21-5,34-14,22-17,31-28,2023
Castres olympique,37-0,41-12,—,20-23,29-14,27-26,39-11,27-18,24-23,13-17,21-23,25-24,25-17,31-23,2023
ASM Clermont,46-14,35-40,36-20,—,38-21,52-15,15-15,41-18,31-28,38-14,23-18,11-10,27-30,33-37,2023
Lyon OU,42-29,27-10,34-19,41-22,—,20-18,43-26,32-36,38-20,36-24,20-14,28-17,27-15,40-28,2023
Montpellier HR,28-23,10-3,30-21,17-20,41-26,—,21-26,10-12,22-17,20-25,16-19,26-15,27-17,22-29,2023
Oyonnax Rugby,27-20,23-29,22-19,36-17,38-20,35-39,—,19-23,34-13,14-15,13-43,19-17,17-27,21-27,2023
Stade français Paris,28-24,22-18,39-16,14-14,22-13,24-9,28-18,—,25-12,32-19,9-13,18-13,23-20,27-12,2023
Section paloise,42-40,20-11,33-44,22-11,40-10,31-23,39-17,30-6,—,36-24,19-17,20-29,17-9,13-9,2023
USA Perpignan,36-10,37-30,43-12,28-35,51-20,23-16,27-12,7-29,24-39,—,26-5,27-15,26-22,27-17,2023
Racing 92,28-37,23-18,34-30,26-10,22-20,20-44,66-10,11-27,24-15,59-10,—,32-10,20-6,20-27,2023
Stade rochelais,18-15,25-21,24-27,42-3,35-14,18-10,40-21,23-3,25-23,35-6,24-19,—,27-17,29-8,2023
RC Toulon,19-14,32-37,41-19,52-10,30-24,54-7,41-7,19-5,36-13,44-22,31-26,25-23,—,20-19,2023
Stade toulousain,46-26,29-22,33-6,31-10,45-0,38-13,61-34,49-18,31-29,43-34,32-12,31-31,25-17,—,2023
"Résultats (▼dom., ►ext.)",Aviron bayonnais,BOR,Castres olympique,ASM Clermont,LYO,MON,Stade français Paris,Section paloise,USA Perpignan,Racing 92,LAR,TLN,TLS,RC Vannes,2024
Aviron bayonnais,—,36-32,33-12,31-18,28-14,28-27,21-13,27-22,21-19,32-15,37-7,18-10,12-8,38-32,2024
Union Bordeaux Bègles,30-27,—,34-29,22-18,20-22,9-6,46-26,19-6,66-12,52-34,10-21,21-17,32-24,59-28,2024
Castres olympique,33-3,3-13,—,34-29,30-25,30-26,35-13,24-19,27-12,31-28,28-24,28-26,28-23,32-13,2024
ASM Clermont,26-10,32-27,54-10,—,39-31,18-22,55-20,39-7,31-13,21-23,33-19,19-18,18-35,55-33,2024
Lyon OU,38-49,28-26,40-38,22-30,—,32-23,35-3,27-29,17-12,34-47,53-17,27-20,17-17,36-21,2024
Montpellier HR,42-10,46-27,21-17,10-23,22-26,—,38-32,30-3,19-13,21-17,16-0,30-38,11-20,26-24,2024
Stade français Paris,31-27,19-46,21-10,36-6,31-30,29-20,—,39-37,24-7,40-24,22-17,10-14,21-27,34-31,2024
Section paloise,51-29,22-26,33-26,20-14,29-15,40-38,30-16,—,23-6,23-33,32-18,25-21,14-22,48-24,2024
USA Perpignan,16-11,17-29,20-20,33-3,29-26,7-26,20-18,11-10,—,28-24,21-13,13-22,42-35,32-13,2024
Racing 92,24-24,36-31,20-27,33-20,25-25,25-27,49-24,29-47,30-23,—,16-17,22-6,17-21,25-30,2024
Stade rochelais,29-28,32-22,12-12,20-15,43-22,47-18,35-18,49-25,38-15,21-26,—,19-15,22-19,14-23,2024
RC Toulon,39-19,27-10,30-28,31-24,21-10,30-17,24-6,56-25,40-19,36-24,45-26,—,16-50,54-19,2024
Stade toulousain,41-6,12-16,52-6,48-14,43-3,27-17,38-23,55-10,41-9,35-37,35-27,57-5,—,63-21,2024
RC Vannes,21-27,29-37,34-28,19-20,30-20,37-24,33-28,26-52,20-20,24-27,29-30,29-19,18-43,—,2024
